func_id,language,cc,source_repo,visibility,receiver_kind,paper_compiled,paper_branch_cov,paper_mutation,jv_T1_compile_v1,jv_T1_compile_v4,jv_err_v1,jv_err_v4,jv_fixed_by_import,jv_T2_ntest_v1,jv_T2_ntest_v4,jv_T4_mut_v1,jv_T4_mut_v4,py_T2_pass_v1,py_T2_pass_v2,py_T2_pass_v3,py_T2_pass_final,py_cause_v1,py_cause_v3,py_T3_cov_v1,py_T3_cov_best,py_T4_mut_v1,py_T4_mut_best
JA-034,java,8,apache/commons-csv,package-private,static,1,0.0,0.0,0,1,khac,,0,0,7,,,,,,,,,,,,
JA-035,java,8,apache/commons-math,public,static,0,0.0,0.0,1,1,,,,10,10,70.0,70.0,,,,,,,,,,
JA-036,java,8,google/gson,private,static,1,0.0,0.0,0,1,khac,,0,0,7,,,,,,,,,,,,
JA-037,java,8,jfree/jfreechart,protected,instance,1,0.0,0.0,0,0,khac,thieu-override,0,0,0,,,,,,,,,,,,
JA-038,java,8,jhy/jsoup,public,instance,1,0.0,0.0,1,1,,,,7,8,92.31,92.31,,,,,,,,,,
JA-039,java,8,JodaOrg/joda-time,public,static,1,0.0,0.0,0,0,khac,thieu-override,0,0,0,,,,,,,,,,,,
JA-040,java,8,apache/commons-cli,package-private,instance,1,0.0,0.0,0,1,khac,,0,0,7,,,,,,,,,,,,
JA-041,java,9,JodaOrg/joda-time,private,static,1,33.33,0.0,0,0,khac,khac,0,0,0,,,,,,,,,,,,
JA-042,java,9,apache/commons-cli,protected,instance,1,0.0,0.0,0,0,khac,khac,0,0,0,,,,,,,,,,,,
JA-043,java,9,apache/commons-collections,public,static,1,0.0,0.0,0,0,khac,overload-nhap-nhang,0,0,0,,,,,,,,,,,,
JA-044,java,9,apache/commons-csv,public,instance,1,0.0,,1,1,,,,5,7,,,,,,,,,,,,
JA-045,java,9,apache/commons-math,private,static,0,0.0,0.0,0,0,sai-tham-so,khac,0,0,0,,,,,,,,,,,,
JA-046,java,9,google/gson,public,instance,0,0.0,0.0,0,0,overload-nhap-nhang,overload-nhap-nhang,0,0,0,,,,,,,,,,,,
JA-047,java,9,jfree/jfreechart,public,instance,1,0.0,0.0,0,0,khac,thieu-override,1,0,0,,,,,,,,,,,,
JA-048,java,9,jhy/jsoup,private,instance,1,0.0,,0,0,khac,truy-cap-private,0,0,0,,,,,,,,,,,,
JA-049,java,9,JodaOrg/joda-time,public,instance,1,0.0,0.0,1,0,,khac,,6,0,0.0,,,,,,,,,,,
JA-050,java,9,apache/commons-cli,private,instance,1,0.0,0.0,0,0,khac,khac,0,0,0,,,,,,,,,,,,
JA-051,java,10,JodaOrg/joda-time,public,instance,1,0.0,0.0,1,0,,khac,,5,0,,,,,,,,,,,,
JA-052,java,10,apache/commons-cli,public,static,1,0.0,0.0,0,1,khac,,0,0,10,,,,,,,,,,,,
JA-053,java,10,apache/commons-collections,public,static,1,0.0,0.0,0,1,khac,,0,0,12,,100.0,,,,,,,,,,
JA-054,java,10,apache/commons-csv,public,instance,1,0.0,0.0,0,0,khac,truy-cap-private,0,0,0,,,,,,,,,,,,
JA-055,java,10,apache/commons-math,public,static,0,0.0,0.0,1,1,,,,8,12,,,,,,,,,,,,
JA-056,java,10,google/gson,public,instance,0,0.0,0.0,0,1,khac,,0,0,5,,,,,,,,,,,,
JA-057,java,10,jfree/jfreechart,protected,instance,1,0.0,0.0,0,0,truy-cap-private,truy-cap-private,0,0,0,,,,,,,,,,,,
JA-058,java,10,jhy/jsoup,private,static,1,0.0,,0,0,thieu-package,truy-cap-private,0,0,0,,,,,,,,,,,,
JA-059,java,10,JodaOrg/joda-time,public,static,1,0.0,0.0,1,1,,,,7,6,100.0,,,,,,,,,,,
JA-060,java,10,apache/commons-cli,public,static,1,100.0,100.0,1,1,,,,11,13,100.0,100.0,,,,,,,,,,
PY-001,python,5,pallets/flask,public,instance,0,0.0,,,,,,,,,,,0,0,0,0,1-import-sai-ten,1-import-sai-ten,0.0,0.0,,
PY-002,python,5,pallets/flask,public,instance,0,0.0,,,,,,,,,,,0,0,0,2,1-import-sai-ten,7-runtime-khac,0.0,87.5,,
PY-003,python,5,pallets/flask,public,instance,0,0.0,,,,,,,,,,,0,0,0,3,1-import-sai-ten,7-runtime-khac,0.0,75.0,,0.0
PY-004,python,5,pallets/flask,public,function,1,66.67,,,,,,,,,,,0,3,4,4,z-khac,8-assert-sai,0.0,83.33,,100.0
PY-005,python,5,pallets/flask,private,function,1,50.0,0.0,,,,,,,,,,2,2,4,4,2-thieu-module,z-khac,75.0,100.0,0.0,0.0
PY-006,python,5,pallets/flask,private,instance,1,50.0,,,,,,,,,,,0,8,3,3,5-sai-chu-ky-goi,4-thuoc-tinh-khong-ton-tai,0.0,66.67,,66.67
PY-007,python,5,pallets/flask,public,instance,0,0.0,,,,,,,,,,,0,0,0,1,1-import-sai-ten,1-import-sai-ten,0.0,25.0,,0.0
PY-008,python,5,pallets/flask,public,instance,0,0.0,,,,,,,,,,,0,1,0,0,1-import-sai-ten,4-thuoc-tinh-khong-ton-tai,0.0,0.0,,
PY-009,python,5,pallets/flask,public,function,1,0.0,,,,,,,,,,,0,0,0,0,5-sai-chu-ky-goi,5-sai-chu-ky-goi,0.0,0.0,,
PY-010,python,5,pallets/flask,public,function,1,0.0,,,,,,,,,,,1,2,3,3,z-khac,2-thieu-module,0.0,0.0,,
PY-011,python,6,pallets/flask,public,instance,0,0.0,,,,,,,,,,,0,1,0,0,1-import-sai-ten,7-runtime-khac,0.0,0.0,,
PY-012,python,6,pallets/flask,public,instance,1,20.0,,,,,,,,,,,0,0,0,4,4-thuoc-tinh-khong-ton-tai,7-runtime-khac,0.0,80.0,,
